baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Ensembl	Dot	Entrez	Symbol	Genename	Log10_p_val
6273.13700305465	-0.0476142467701282	0.179268113830451	-0.265603546290228	0.790544554130183	0.967632839926173	ENSG00000000003	15	7105	TSPAN6	tetraspanin 6	0.0142894007931031
63.8547166343363	-1.40666452727623	0.464395273700393	-3.02902421049131	0.0024534502059242	0.151696868468155	ENSG00000000005	6	64102	TNMD	tenomodulin	0.819023384414572
1962.05709779342	-0.211605724865598	0.157765694158796	-1.34126576752871	0.179834180010518	0.718664646817856	ENSG00000000419	13	8813	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	0.14347371881316
475.648707895974	0.148828859884009	0.108864349184521	1.3671037488292	0.171592788410003	0.71084389134949	ENSG00000000457	14	57147	SCYL3	SCY1 like pseudokinase 3	0.148225764346778
362.000311675824	-0.226001781862716	0.141740390370314	-1.59447692554154	0.110829254877469	0.630210184002806	ENSG00000000460	17	55732	FIRRM	FIGNL1 interacting regulator of recombination and mitosis	0.200514583040016
220.306267040477	0.0195018349654	0.273795686843451	0.0712276924090138	0.94321654202916	0.991680399490162	ENSG00000000938	13	2268	FGR	FGR proto-oncogene, Src family tyrosine kinase	0.00362827048887282
707.028916266275	-0.0218751563807932	0.271328330861757	-0.0806224558685644	0.935742207135869	0.990974958341123	ENSG00000000971	16	3075	CFH	complement factor H	0.0039373198756496
2286.2544644283	0.0430305260383975	0.118908939329367	0.361877973860376	0.717443220329056	0.953523988398997	ENSG00000001036	14	2519	FUCA2	alpha-L-fucosidase 2	0.020668376662793
1570.8702947449	-0.0854023900097321	0.128727811341346	-0.663433869649748	0.50705271990459	0.89440306836981	ENSG00000001084	13	2729	GCLC	glutamate-cysteine ligase catalytic subunit	0.0484667195495668
1116.10366563172	-0.0960897296064769	0.105126353327422	-0.914040357770239	0.360695639870315	0.837991804227337	ENSG00000001167	14	4800	NFYA	nuclear transcription factor Y subunit alpha	0.0767602288592799
308.085739844672	0.076767489714553	0.136714095768885	0.561518468763661	0.574444143581647	0.916965512675123	ENSG00000001460	18	90529	STPG1	sperm tail PG-rich repeat containing 1	0.0376469979576157
1262.77589042146	-0.0274036955772349	0.115597640693923	-0.237061028345673	0.812609445535184	0.970186396193458	ENSG00000001461	17	57185	NIPAL3	NIPA like domain containing 3	0.0131448192786367
2418.02376495195	-0.0744603150478437	0.141257142280904	-0.527126018872533	0.598106079390819	0.921989995670395	ENSG00000001497	18	81887	LAS1L	LAS1 like ribosome biogenesis factor	0.0352737913636319
959.852948881264	0.21923078681758	0.18826000045663	1.16451071011276	0.244217105578302	0.77390872325913	ENSG00000001561	7	22875	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4	0.111310258079992
1636.56553112832	0.19326159231402	0.199456406552827	0.968941512855512	0.332574371510015	0.825156947217041	ENSG00000001617	12	6405	SEMA3F	semaphorin 3F	0.0834634395377578
6811.77728647977	-0.273947693118156	0.259354434951274	-1.05626762530443	0.290845962528961	0.80259094013896	ENSG00000001626	16	1080	CFTR	CF transmembrane conductance regulator	0.0955057470066953
1647.99327733865	-0.082117104747373	0.103128669737491	-0.796258741205508	0.425881661330521	0.864295530662006	ENSG00000001629	10	54467	ANKIB1	ankyrin repeat and IBR domain containing 1	0.0633377327639498
233.448462537718	-0.785348379597528	0.203955255759145	-3.85059152643246	0.000117832883944965	0.0319316455991771	ENSG00000001630	17	1595	CYP51A1	cytochrome P450 family 51 subfamily A member 1	1.49577869949293
206.135248580492	0.261266628596049	0.123064285394541	2.12300935042555	0.0337530683260392	0.441860321949924	ENSG00000001631	16	889	KRIT1	KRIT1 ankyrin repeat containing	0.354714995341696
352.504909457317	0.0916630912477271	0.192663054688228	0.475768908554151	0.63423902249136	0.932167031212749	ENSG00000002016	18	5893	RAD52	RAD52 homolog, DNA repair protein	0.0305062612141787
485.638223710452	0.18560790399261	0.192449463025935	0.964450100687459	0.334820314262265	0.825842243775293	ENSG00000002330	14	572	BAD	BCL2 associated agonist of cell death	0.083102905707781
3211.82189028041	0.0286492296731941	0.134896090562097	0.212379984874402	0.83181059937498	0.974804734429847	ENSG00000002549	12	51056	LAP3	leucine aminopeptidase 3	0.0110823702015475
6048.02197563454	-0.0379572322225736	0.156646404025499	-0.242311545283828	0.808538768461434	0.969569294687074	ENSG00000002586	20	4267	CD99	CD99 molecule (Xg blood group)	0.0134211466422303
464.160561860623	0.173588793973695	0.186678130447148	0.929882860718067	0.352431737956798	0.834164654965009	ENSG00000002587	10	9957	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1	0.0787482159273265
8240.72499378327	0.0968152162676075	0.241616512497648	0.400697846628135	0.688642596400618	0.946424900552738	ENSG00000002726	21	26	AOC1	amine oxidase copper containing 1	0.0239138418898598
36.0655298439046	-0.304866663200379	0.338342966506242	-0.901058078282098	0.367557440766511	0.840140061874327	ENSG00000002746	15	23072	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	0.0756483055709037
10890.4897828079	-0.350241081073452	0.132408016232632	-2.64516523273109	0.00816510353308977	0.2725514675532	ENSG00000002834	18	3927	LASP1	LIM and SH3 protein 1	0.564551475171633
855.053300436882	0.0155241009788399	0.117122495815988	0.132545851850954	0.894552558388847	0.985804787299938	ENSG00000002919	15	29916	SNX11	sorting nexin 11	0.00620907714001021
8441.82163626366	0.431977007414187	0.236853402248537	1.82381592712314	0.0681799051806628	0.555702533277115	ENSG00000002933	9	55365	TMEM176A	transmembrane protein 176A	0.255157623394998
2510.61296143982	-0.314597647064152	0.150414419545357	-2.09153914907265	0.0364797608397324	0.450266273252645	ENSG00000003056	8	4074	M6PR	mannose-6-phosphate receptor, cation dependent	0.346530582215009
211.490678631684	-0.59239002451473	0.467016371900275	-1.26845665410896	0.204634920709843	0.74263853048513	ENSG00000003096	14	90293	KLHL13	kelch like family member 13	0.129222521925139
80.8131185548628	-0.508407803880175	0.279011528307314	-1.82217490067362	0.0684284516872799	0.555702533277115	ENSG00000003137	8	56603	CYP26B1	cytochrome P450 family 26 subfamily B member 1	0.255157623394998
2199.14223073306	-0.0719783031139492	0.145811216688314	-0.493640371082083	0.621560184033125	0.92785615009386	ENSG00000003147	19	3382	ICA1	islet cell autoantigen 1	0.0325193492800254
896.845679932195	0.369225649057796	0.20923928187363	1.76460961704499	0.0776293980718632	0.575195448627214	ENSG00000003249	15	79007	DBNDD1	dysbindin domain containing 1	0.240184559071464
666.120105007186	0.203804686052332	0.125265522912256	1.62698148152936	0.103741030890237	0.621691391419504	ENSG00000003393	15	57679	ALS2	alsin Rho guanine nucleotide exchange factor ALS2	0.20642514627973
1163.47191701581	0.0405715814953345	0.158417461768059	0.256105488893237	0.797869383773516	0.968305234430171	ENSG00000003400	15	843	CASP10	caspase 10	0.0139877204466511
2392.59376614016	0.158248632759665	0.0875203565529578	1.80813514698046	0.0705854691632754	0.559368450989852	ENSG00000003402	20	8837	CFLAR	CASP8 and FADD like apoptosis regulator	0.252302031971286
450.086344029379	0.242035335913413	0.24918317604493	0.971314916821561	0.331391482861484	0.824320455880034	ENSG00000003436	16	7035	TFPI	tissue factor pathway inhibitor	0.083903922811166
453.621839137163	0.0768204394455265	0.120270866116776	0.63872857929649	0.522999517337721	0.901217150519385	ENSG00000003509	16	55471	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7	0.0451705520735316
1828.33324651455	0.115640347949311	0.117290780703041	0.98592870860065	0.324168097930977	0.82235720119799	ENSG00000003756	17	10181	RBM5	RNA binding motif protein 5	0.0849395002058219
139.347663978841	0.258081288976027	0.393486320306006	0.655883764333464	0.511898915290858	0.896358065223404	ENSG00000003989	18	6542	SLC7A2	solute carrier family 7 member 2	0.0475184694820014
